segment,2025-Q1-recast,2025-Q4,2026-Q1,yoy_change,qoq_change,unit,source_note
Core Local Commerce revenue,63.973733,64.834633,64.063286,0.1,-1.2,RMB bn,S01
Core Local Commerce operating profit or loss,13.491480,-10.045683,-2.029942,-15.521422,8.015741,RMB bn,S01
Core Local Commerce operating margin,21.1,-15.5,-3.2,-24.3,12.3,percentage points,S01
New Initiatives revenue,22.232412,27.261796,26.975620,21.3,-1.0,RMB bn,S01
New Initiatives operating profit or loss,-2.273267,-4.649846,-2.115815,0.157452,2.534031,RMB bn,S01
New Initiatives operating margin,-10.2,-17.1,-7.8,2.4,9.3,percentage points,S01
Unallocated operating profit or loss,-0.652103,-1.378718,-2.324054,-1.671951,-0.945336,RMB bn,S01
Total operating profit or loss,10.566110,-16.074247,-6.469811,-17.035921,9.604436,RMB bn,S01
