date,close_hkd,change_vs_previous_pct,context,source
2026-06-01,78.25,6.54,Pre-release close; results published after market close,Yahoo Finance
2026-06-02,85.50,9.27,First post-results trading day,Yahoo Finance
2026-06-03,80.40,-5.96,Second post-results trading day,Yahoo Finance
2026-06-04,78.60,-2.24,Third post-results trading day,Yahoo Finance
2026-06-05,79.95,1.72,Fourth post-results trading day,Yahoo Finance
2026-06-08,76.25,-4.63,Fifth post-results trading day,Yahoo Finance
2026-06-09,77.45,1.57,Sixth post-results trading day; 1.02% below June 1 close,Yahoo Finance
